Product Name,Brand Name,Original Price,Selling Price,Condition,Availibilty,Purchase Date,Product Link,Image URL,Size / Specifications,,
Bluetooth Speaker,JBL Partybox Encore Essential,199,150,Mint Condition,In talks,4/17/2024,https://www.amazon.com/gp/product/B09VMPBBY5/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1,https://m.media-amazon.com/images/I/715ZVRDE8NL._AC_SL1262_.jpg,,,
Monitor,"LG 29WP60G-B UltraWide Monitor 29"" 21:9 FHD (2560 x 1080)",199,150,Fairly Used,In talks,1/10/2024,https://www.amazon.com/gp/product/B08V86LGBS/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1,https://m.media-amazon.com/images/I/91YTNMvJxAL.__AC_SX300_SY300_QL70_FMwebp_.jpg,,,
Electric Scooter,"Hiboy S2 Pro/S2 MAX Electric Scooter, 500W Motor, 10"" Solid Tires, 25-40.4 Miles Range",399,370,Fairly Used,Available,3/20/2024,https://www.amazon.com/gp/product/B086N23QBD/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&th=1,https://m.media-amazon.com/images/I/61xpDfP-eXL._AC_SX679_.jpg,,,
Kettle ,"BELLA 1.7 Liter Glass Electric Kettle, Quickly Boil 7 Cups of Water in 6-7 Minutes, Soft Blue LED",24.99,15,Mint Condition,Available,8/15/2024,https://www.amazon.com/BELLA-Electric-Illuminate-Cordless-Portable/dp/B08NHSX17H/ref=sr_1_3?crid=1UEF6FEWZR853&dib=eyJ2IjoiMSJ9.5ymJi-MspU7IWRT9VsnyFbII1shlTxoOeARwct8u5iK9fWgTj1uKymyAAzf0BQHnMr4QNsPBQK2qfvncO07Wo2zEOJ4SIZJl86N3hdUo1iQgnOqkP3adHWQzgG3BJno7aH_DfpU5viaFmyIM9HJW4ouJSbNjHMj6qYAiDPURUcwFkawJ05v66lTTG507ZvU-alEzD9zOjdWoQLOGVU4dEUz_O8wdU15nb4XjKuDBhgLql3EDJkJgHlN1hX8An659qO6FOgSkCEMMurit61_vNFDkqmQERrGgcpTJI-uCuX4.b7zWGKXh7ZzbJCP7DVw1dczgg5koMOddBmWVGW-b-tE&dib_tag=se&keywords=bella+kettle+electric+ceramic&qid=1733519034&sprefix=bella+ke%2Caps%2C119&sr=8-3,https://m.media-amazon.com/images/I/715KJny4wqS.__AC_SX300_SY300_QL70_FMwebp_.jpg,,,
Air fryer,Gourmia 7 Quart Digital Air Fryer,64.99,45,Fairly Used,Available,4/10/2024,https://www.amazon.com/Gourmia-GAF798-Quart-Digital-Fryer/dp/B09LTS1JX4/ref=sr_1_16?crid=13OUUJCLLB9IJ&dib=eyJ2IjoiMSJ9.Im8-5-Oqb7ORL14pwt_giUPZCYVB4KMv5dTjdCXFIvnGQ9oIhJ7Q6s76SQTlERzkd4CdN_6LtjsCrEuZjUooXylcWd9hWcS7rVOgvEj_3dUUnzsQ-7cO92JGylxn8J8ze_H9N3j_Y9x9sMpDSJcCer3VJWyJ11GIUg_9cDuPT4SYZopruTu3LLi52jMFepKBr5e2Va1dJpq44pP6AaYS22CvrlSTVaFl87Q-E2KIQA8.i4Aau3ihhJP88sR7-qRJFssstJnzsPgqzmsi8l7wsOk&dib_tag=se&keywords=air+fryer+gourmia&qid=1733519111&sprefix=air+fryer+gourmia%2Caps%2C130&sr=8-16,https://m.media-amazon.com/images/I/61utx27+IrL._AC_SY300_SX300_.jpg,,,
Guitar,Donner DST-100S 39 Inch Full Size Electric Guitar Kit Solid,179.99,120,Fairly Used,Available,12/13/2023,https://www.amazon.com/gp/product/B07DG4VCKG/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&th=1,https://m.media-amazon.com/images/I/71llHDMpU-L.__AC_SX300_SY300_QL70_FMwebp_.jpg,,,
Omellete Maker,Holstein Housewares - Non-Stick Omelet & Frittata Maker,19,12,Mint Condition,Available,2/7/2024,https://www.amazon.com/dp/B01J681UF0?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,https://m.media-amazon.com/images/I/617JFoP0n7L.__AC_SX300_SY300_QL70_FMwebp_.jpg,,,
Toaster,BLACK+DECKER 2-Slice Toaster,31.58,25,Fairly Used,Available,2/8/2024,https://www.amazon.com/dp/B002CVTT4S?ref=ppx_yo2ov_dt_b_fed_asin_title,https://m.media-amazon.com/images/I/71WNFW09p4L._AC_SX679_.jpg,,,
Knife Set,Marco Almond Kitchen Knife Set,35.98,15,Used,Available,8/16/2023,https://www.amazon.com/dp/B094MWSHK9?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,https://m.media-amazon.com/images/I/61kRV4IirNL._AC_SX679_.jpg,,,
Dosa Pan,"Hawkins Futura Nonstick Dosa Tava, Diameter 33 cm (13 inch), Thickness 4.88 mm (Black) NDT33",38.97,22,Used,Available,3/16/2024,https://www.amazon.com/dp/B0091X7RVM?ref=ppx_yo2ov_dt_b_fed_asin_title,https://m.media-amazon.com/images/I/51Z86bIiB+L._AC_SY300_SX300_.jpg,,,
